job_id,company_id,posted_at,title,role_family,level,location_type,employment_type,salary_low,salary_high,status
1,183,2024-01-01 08:36:25,Lifecycle Marketing Manager,operations,senior,remote,full_time,109000,126000,closed
2,184,2024-01-01 13:30:59,Lifecycle Marketing Manager,operations,junior,remote,full_time,66000,82000,closed
3,166,2024-01-01 18:21:00,Talent Acquisition Specialist,operations,mid,onsite,full_time,92000,106000,open
4,177,2024-01-01 20:39:45,Solutions Consultant,operations,mid,remote,full_time,88000,111000,filled
5,104,2024-01-02 10:50:13,Talent Acquisition Specialist,operations,mid,remote,full_time,90000,111000,open
6,194,2024-01-02 12:59:26,Revenue Operations Manager,operations,mid,onsite,full_time,87000,105000,filled
7,91,2024-01-02 15:07:39,Operations Excellence Lead,operations,mid,remote,full_time,90000,102000,filled
8,158,2024-01-03 13:22:32,Technical Support Engineer,engineering,senior,remote,full_time,149000,186000,filled
9,133,2024-01-03 21:58:27,FP&A Analyst,data,lead,remote,full_time,194000,231000,open
10,229,2024-01-03 22:33:11,Partner Success Manager,customer_success,senior,onsite,full_time,101000,131000,filled
11,287,2024-01-03 23:54:28,Technical Support Engineer,engineering,mid,remote,full_time,131000,159000,filled
12,203,2024-01-04 07:40:29,Senior Data Scientist,data,mid,remote,full_time,131000,154000,filled
13,44,2024-01-04 08:34:34,Implementation Project Manager,operations,mid,remote,full_time,90000,109000,closed
14,214,2024-01-04 14:40:31,Senior Backend Engineer,engineering,mid,remote,full_time,124000,143000,open
15,104,2024-01-05 06:44:33,Compliance Analyst,data,lead,remote,full_time,191000,228000,filled
16,16,2024-01-06 02:19:31,Payroll Specialist,operations,mid,remote,contract,86000,112000,open
17,62,2024-01-06 02:22:26,Senior Frontend Engineer,engineering,mid,remote,full_time,131000,159000,filled
18,320,2024-01-06 03:57:33,Supply Chain Coordinator,operations,senior,hybrid,full_time,114000,139000,filled
19,137,2024-01-06 05:16:16,Cloud Infrastructure Engineer,engineering,mid,onsite,full_time,121000,145000,filled
20,65,2024-01-06 14:49:30,Staff Data Engineer,engineering,junior,remote,full_time,93000,111000,paused
21,43,2024-01-07 14:43:56,Risk Operations Analyst,operations,mid,remote,full_time,88000,107000,filled
22,209,2024-01-07 16:08:09,Clinical Operations Analyst,operations,senior,onsite,contract,105000,143000,filled
23,244,2024-01-08 06:33:13,Director of Customer Support,operations,senior,onsite,full_time,111000,137000,filled
24,114,2024-01-08 14:03:26,Operations Excellence Lead,operations,mid,hybrid,full_time,86000,115000,open
25,34,2024-01-08 18:03:40,Technical Program Manager,operations,lead,remote,full_time,128000,153000,filled
26,114,2024-01-08 21:56:58,Inventory Planning Manager,operations,senior,hybrid,full_time,113000,133000,filled
27,213,2024-01-09 00:01:07,Senior Frontend Engineer,engineering,senior,remote,contract,152000,196000,paused
28,37,2024-01-09 08:44:21,Solutions Architect,operations,mid,remote,full_time,93000,106000,open
29,86,2024-01-09 23:15:21,Clinical Operations Analyst,operations,junior,remote,full_time,65000,79000,closed
30,1,2024-01-10 07:30:16,Implementation Engineer,engineering,senior,hybrid,full_time,161000,189000,filled
31,152,2024-01-10 08:09:36,Payroll Specialist,operations,mid,remote,contract,90000,116000,open
32,55,2024-01-10 08:12:20,Demand Generation Manager,operations,senior,hybrid,full_time,115000,128000,filled
33,64,2024-01-10 08:38:22,Business Systems Administrator,operations,senior,remote,full_time,109000,142000,filled
