application_id,job_id,candidate_id,applied_at,source,stage,score
1,1841,6949,2025-10-22 22:54:51,job_board,applied,0.92
2,1510,1387,2025-07-18 01:17:20,linkedin,interview,0.525
3,1945,7960,2026-01-06 18:49:32,job_board,applied,0.474
4,1823,7384,2025-10-09 01:22:15,linkedin,interview,0.587
5,1839,6407,2025-11-16 03:14:55,recruiter,applied,0.403
6,815,3135,2024-10-23 20:46:50,job_board,screened,0.873
7,508,547,2024-07-26 07:27:34,recruiter,applied,0.643
8,1371,3874,2025-05-16 01:49:44,linkedin,offer,0.426
9,1243,2208,2025-03-13 08:07:38,outbound,interview,0.637
10,866,8756,2024-10-27 09:42:14,job_board,interview,0.698
11,1000,7073,2024-12-28 04:15:41,job_board,screened,0.578
12,402,1684,2024-06-07 02:08:32,job_board,interview,0.548
13,993,177,2025-01-17 20:46:02,linkedin,offer,0.629
14,1929,8281,2026-01-01 00:26:09,referral,applied,0.508
15,857,4662,2024-11-12 16:12:16,job_board,applied,0.587
16,1035,6526,2025-02-20 13:26:53,job_board,applied,0.795
17,1883,5494,2025-11-10 12:23:52,recruiter,applied,0.919
18,1707,2810,2025-09-04 04:50:34,referral,screened,0.383
19,1582,7380,2025-08-19 18:33:42,referral,applied,0.961
20,11,1980,2024-02-08 23:54:28,linkedin,applied,0.616
21,1694,7260,2025-09-28 23:20:07,job_board,interview,0.882
22,154,8720,2024-03-16 07:31:51,linkedin,applied,0.765
23,70,659,2024-01-31 08:53:41,referral,applied,0.869
24,707,7049,2024-09-18 21:30:30,job_board,screened,0.448
25,824,6118,2024-11-16 02:55:22,job_board,offer,0.429
26,242,6902,2024-03-13 16:32:46,referral,applied,0.38
27,1196,7113,2025-02-25 11:57:49,linkedin,screened,0.487
28,1842,8422,2025-11-01 07:02:40,job_board,screened,0.757
29,1318,949,2025-04-29 06:18:41,recruiter,offer,0.667
30,1922,2709,2025-12-20 10:31:40,referral,offer,0.769
31,1790,4369,2025-09-29 17:42:39,linkedin,applied,0.963
32,1631,7986,2025-08-20 20:14:02,job_board,applied,0.452
33,335,5845,2024-05-02 15:07:35,referral,applied,0.49
34,1277,5462,2025-04-17 19:17:02,recruiter,applied,0.492
35,181,3082,2024-02-18 12:08:39,job_board,interview,0.806
36,1545,1113,2025-07-11 18:04:34,linkedin,interview,0.37
37,1787,3335,2025-10-12 18:19:22,outbound,screened,0.562
38,240,4296,2024-03-17 07:21:52,job_board,interview,0.696
39,1014,926,2025-01-09 12:16:28,linkedin,applied,0.359
40,255,1447,2024-04-12 06:45:03,job_board,applied,0.937
41,1079,6970,2025-02-08 00:02:42,job_board,interview,0.956
42,903,2207,2024-12-03 17:56:59,outbound,applied,0.868
43,1781,2135,2025-10-19 20:22:21,job_board,applied,0.647
44,545,924,2024-07-26 15:07:04,linkedin,interview,0.718
45,1500,3915,2025-07-04 10:43:05,job_board,applied,0.366
46,1316,398,2025-04-07 17:56:26,linkedin,applied,0.857
47,1462,4648,2025-06-25 04:42:48,referral,applied,0.358
48,1923,653,2025-11-29 20:54:11,outbound,applied,0.746
49,373,786,2024-05-31 18:42:27,recruiter,applied,0.406
50,28,8782,2024-02-18 08:44:21,recruiter,applied,0.849
51,1243,3881,2025-04-17 08:07:38,linkedin,applied,0.684
52,245,2634,2024-04-08 09:26:48,linkedin,interview,0.449
53,901,1372,2024-12-21 02:56:58,referral,applied,0.392
54,1043,4042,2025-02-23 22:02:50,job_board,interview,0.505
55,1223,2093,2025-03-08 03:18:29,job_board,applied,0.961
56,25,2012,2024-02-04 18:03:40,referral,applied,0.426
57,1152,3207,2025-03-03 05:32:12,job_board,interview,0.637
58,1558,1201,2025-07-11 00:48:08,referral,applied,0.522
59,53,4408,2024-02-17 19:22:44,referral,offer,0.767
60,790,3680,2024-09-22 23:39:15,outbound,interview,0.833
61,688,3908,2024-09-21 03:34:25,referral,applied,0.941
62,682,7038,2024-09-09 17:36:41,linkedin,applied,0.643
63,916,645,2024-11-24 01:57:29,job_board,screened,0.641
64,283,2420,2024-03-18 22:54:35,referral,applied,0.526
65,1001,3154,2025-02-10 17:34:29,referral,applied,0.821
66,154,3453,2024-03-13 07:31:51,job_board,applied,0.975
67,199,353,2024-03-09 23:53:38,outbound,applied,0.575
68,1074,2284,2025-02-25 05:31:31,job_board,applied,0.793
69,1798,2258,2025-10-27 17:49:43,linkedin,screened,0.836
70,1416,8226,2025-06-10 02:13:48,linkedin,applied,0.863
71,669,766,2024-08-28 19:57:53,job_board,applied,0.731
72,692,4483,2024-08-12 19:56:28,referral,applied,0.606
73,979,1507,2024-12-29 12:12:18,linkedin,applied,0.722
74,70,8776,2024-01-30 08:53:41,referral,applied,0.413
75,1328,4523,2025-04-17 15:57:30,job_board,screened,0.961
76,268,2929,2024-04-12 18:17:28,outbound,applied,0.448
77,1439,8346,2025-05-31 17:25:03,job_board,applied,0.487
78,748,5804,2024-09-11 17:51:11,job_board,interview,0.727
79,757,1753,2024-10-04 10:09:20,recruiter,applied,0.69
80,881,6410,2024-11-19 03:12:48,job_board,applied,0.391
81,259,6578,2024-04-02 15:12:31,linkedin,applied,0.703
82,480,4574,2024-07-09 01:07:52,linkedin,applied,0.769
83,415,394,2024-05-23 21:46:51,job_board,applied,0.652
84,1695,6654,2025-09-13 08:22:57,linkedin,applied,0.714
85,331,3023,2024-05-03 09:12:43,job_board,interview,0.423
86,258,949,2024-03-14 13:55:21,recruiter,screened,0.915
87,489,3613,2024-06-27 07:59:07,outbound,applied,0.976
88,850,4449,2024-11-06 21:20:56,referral,screened,0.737
89,1208,976,2025-03-03 14:43:04,job_board,applied,0.697
90,847,1959,2024-10-18 06:01:53,recruiter,applied,0.791
91,1072,5731,2025-01-30 22:38:37,linkedin,screened,0.907
92,1036,6035,2025-01-28 20:35:28,referral,applied,0.466
93,338,1312,2024-04-25 23:17:27,linkedin,applied,0.663
94,15,2191,2024-01-15 06:44:33,referral,screened,0.605
95,1364,7207,2025-05-12 12:26:08,outbound,offer,0.451
96,1888,803,2025-11-14 11:47:16,referral,applied,0.61
97,128,5324,2024-03-11 22:21:50,job_board,applied,0.903
98,1837,3754,2025-11-05 22:21:32,job_board,interview,0.422
99,1820,6672,2025-11-11 22:42:07,outbound,offer,0.464
100,1577,323,2025-08-12 11:11:32,job_board,applied,0.754
101,1133,1479,2025-02-27 20:22:26,linkedin,applied,0.484
102,680,7392,2024-08-30 23:55:29,referral,applied,0.459
103,1181,2854,2025-02-28 22:45:11,job_board,applied,0.932
104,23,3396,2024-01-16 06:33:13,linkedin,applied,0.627
105,572,6350,2024-08-09 17:36:15,linkedin,applied,0.485
106,788,4229,2024-10-05 09:36:51,outbound,applied,0.669
107,1024,4081,2025-01-14 10:24:04,linkedin,applied,0.392
108,546,525,2024-07-12 18:07:30,linkedin,applied,0.497
109,853,5692,2024-11-05 21:01:11,linkedin,offer,0.709
110,1451,1250,2025-06-27 17:38:43,referral,applied,0.464
111,1902,3722,2025-12-21 20:00:14,linkedin,screened,0.932
112,1646,3151,2025-09-16 11:17:56,job_board,applied,0.504
113,153,6050,2024-03-16 06:27:57,job_board,applied,0.53
114,1179,6090,2025-03-25 19:51:51,referral,screened,0.796
115,918,5774,2024-12-26 17:23:04,linkedin,applied,0.896
116,1045,5547,2025-02-13 16:06:55,job_board,applied,0.402
117,1584,2696,2025-07-20 16:28:31,referral,applied,0.701
118,654,3129,2024-08-10 03:19:47,job_board,applied,0.812
119,1090,7936,2025-02-12 03:44:48,referral,applied,0.895
120,1775,6393,2025-10-23 16:53:46,job_board,interview,0.405
121,1131,6592,2025-03-09 15:36:02,job_board,applied,0.977
122,1111,7830,2025-03-08 05:37:52,job_board,applied,0.412
123,1823,614,2025-10-10 01:22:15,job_board,applied,0.856
124,59,16,2024-02-10 01:29:30,linkedin,applied,0.443
125,752,340,2024-10-06 13:30:54,job_board,applied,0.739
126,986,4500,2025-01-03 19:09:50,job_board,applied,0.564
127,5,6446,2024-01-17 10:50:13,job_board,offer,0.564
128,950,8555,2025-01-01 14:34:56,referral,applied,0.583
129,1852,5689,2025-11-22 14:02:47,linkedin,screened,0.803
130,1577,6605,2025-08-03 11:11:32,linkedin,screened,0.594
131,67,8321,2024-02-04 04:39:19,job_board,screened,0.938
132,1753,1532,2025-09-10 15:04:39,referral,applied,0.476
133,1595,6080,2025-07-30 03:42:39,recruiter,applied,0.353
