offer_id,application_id,offered_at,base_salary,accepted,accepted_at
1,8,2025-06-24 01:49:44,130303,True,2025-06-01 01:49:44
2,13,2025-01-31 20:46:02,207647,True,2025-02-24 20:46:02
3,25,2024-12-01 02:55:22,168168,False,
4,29,2025-05-27 06:18:41,105156,True,2025-06-02 06:18:41
5,30,2026-01-03 10:31:40,137936,True,2026-01-07 10:31:40
6,59,2024-03-21 19:22:44,91273,True,2024-04-04 19:22:44
7,95,2025-06-18 12:26:08,168551,True,2025-07-03 12:26:08
8,99,2025-12-03 22:42:07,194985,True,2025-12-10 22:42:07
9,109,2024-12-07 21:01:11,67060,True,2024-12-03 21:01:11
10,127,2024-02-21 10:50:13,97729,True,2024-02-25 10:50:13
11,136,2025-11-20 14:12:06,104486,False,
12,167,2025-12-22 20:32:04,117855,True,2025-11-30 20:32:04
13,169,2024-06-29 06:16:26,94679,True,2024-07-16 06:16:26
14,188,2024-07-13 14:30:39,167542,True,2024-07-23 14:30:39
15,213,2025-03-10 22:59:06,147328,False,
16,219,2025-04-21 21:05:33,131350,True,2025-04-02 21:05:33
17,232,2024-02-17 07:40:29,147659,True,2024-02-18 07:40:29
18,249,2024-08-23 09:18:30,94487,True,2024-09-07 09:18:30
19,260,2024-03-04 14:40:31,142659,True,2024-03-19 14:40:31
20,261,2025-04-13 08:11:49,140026,False,
21,278,2025-05-19 04:35:54,107117,True,2025-05-20 04:35:54
22,282,2025-04-25 21:57:12,187119,True,2025-04-28 21:57:12
23,301,2025-05-08 08:47:29,127781,True,2025-06-05 08:47:29
24,311,2024-07-06 04:23:06,95473,True,2024-06-21 04:23:06
25,322,2024-06-16 19:09:30,112570,True,2024-05-25 19:09:30
26,341,2024-06-05 12:50:51,152596,True,2024-05-27 12:50:51
27,358,2024-12-25 20:08:45,98760,False,
28,363,2025-10-07 01:45:59,166079,True,2025-11-03 01:45:59
29,380,2025-09-26 08:22:57,145799,False,
30,381,2025-11-07 15:30:28,76928,True,2025-11-21 15:30:28
31,382,2024-08-07 15:22:44,135179,True,2024-08-01 15:22:44
32,420,2025-11-04 18:03:30,169014,True,2025-11-12 18:03:30
33,430,2024-07-19 10:39:28,200678,True,2024-08-07 10:39:28
34,462,2025-07-14 23:43:43,127053,True,2025-08-20 23:43:43
35,479,2025-07-13 08:56:02,171827,True,2025-08-09 08:56:02
36,486,2026-02-08 15:16:18,73592,True,2026-02-13 15:16:18
37,495,2024-03-15 16:39:03,114309,True,2024-03-17 16:39:03
38,524,2024-09-06 12:01:01,112299,False,
39,528,2025-11-29 17:57:46,130603,True,2025-12-03 17:57:46
40,532,2025-06-18 23:00:37,186912,False,
41,537,2025-12-09 23:29:20,105069,True,2025-12-25 23:29:20
42,563,2024-04-09 12:08:11,120631,True,2024-05-09 12:08:11
43,578,2024-05-29 10:55:57,69665,True,2024-05-20 10:55:57
44,588,2024-04-17 19:31:45,144779,True,2024-04-08 19:31:45
45,629,2024-11-07 13:07:42,121021,True,2024-11-29 13:07:42
46,650,2024-08-18 13:20:19,176822,True,2024-07-28 13:20:19
47,662,2024-08-12 08:57:05,180171,True,2024-08-11 08:57:05
48,667,2024-08-18 09:33:51,162094,True,2024-08-21 09:33:51
49,699,2024-05-31 22:08:54,197850,True,2024-05-22 22:08:54
50,720,2025-12-12 22:54:51,87234,True,2025-11-24 22:54:51
51,761,2024-10-03 22:02:02,140665,True,2024-10-11 22:02:02
52,777,2024-10-24 04:31:27,175230,False,
53,787,2026-02-18 20:18:42,122295,True,2026-03-20 20:18:42
54,810,2025-06-24 11:57:10,134432,True,2025-07-15 11:57:10
55,815,2025-12-05 09:04:20,66532,False,
56,834,2024-03-19 05:15:06,140582,True,2024-03-08 05:15:06
57,840,2025-06-23 10:39:29,70240,True,2025-07-03 10:39:29
58,860,2026-01-24 15:16:18,70770,True,2026-01-14 15:16:18
59,870,2024-04-07 12:44:09,66467,True,2024-04-10 12:44:09
60,871,2025-07-24 03:11:08,114922,True,2025-08-05 03:11:08
61,905,2025-03-17 12:42:00,171927,True,2025-03-08 12:42:00
62,923,2024-11-15 16:46:06,117301,True,2024-11-05 16:46:06
63,927,2025-03-27 12:55:40,95816,True,2025-04-03 12:55:40
64,948,2025-01-22 03:55:31,129045,False,
65,967,2024-10-20 09:41:15,93740,True,2024-10-14 09:41:15
66,1052,2024-09-20 17:02:45,130901,True,2024-10-19 17:02:45
67,1066,2025-10-01 18:36:31,133286,False,
68,1090,2024-10-09 17:21:03,92806,True,2024-10-20 17:21:03
69,1095,2025-02-08 23:48:32,156599,True,2025-01-17 23:48:32
70,1125,2025-04-27 00:29:28,118607,False,
71,1129,2025-08-19 02:51:19,153788,False,
72,1156,2024-12-10 14:58:50,106933,True,2024-12-05 14:58:50
73,1168,2025-02-10 02:48:31,126919,True,2025-03-03 02:48:31
74,1190,2024-08-18 03:07:46,183655,True,2024-08-25 03:07:46
75,1191,2024-05-22 09:32:35,95313,False,
76,1206,2025-11-20 08:28:04,109673,False,
77,1222,2024-05-10 07:23:38,85581,True,2024-04-26 07:23:38
78,1229,2025-09-03 02:41:03,180591,True,2025-09-05 02:41:03
79,1257,2024-10-14 22:33:40,101205,True,2024-10-14 22:33:40
80,1272,2024-06-03 05:04:52,135603,True,2024-07-11 05:04:52
81,1352,2024-07-31 18:20:07,119047,True,2024-08-09 18:20:07
82,1400,2024-09-12 23:00:52,161558,True,2024-09-30 23:00:52
83,1411,2024-07-04 14:06:07,206713,True,2024-06-19 14:06:07
84,1416,2025-07-06 00:58:13,98366,False,
85,1439,2024-11-17 12:47:03,97254,True,2024-10-26 12:47:03
86,1445,2025-12-09 13:10:07,112172,True,2025-12-22 13:10:07
87,1463,2025-09-21 20:09:44,138889,True,2025-10-06 20:09:44
88,1481,2024-09-20 05:41:22,139218,False,
89,1490,2024-05-09 18:27:38,114901,True,2024-05-16 18:27:38
90,1497,2026-03-01 13:18:01,99395,False,
91,1499,2024-04-26 22:54:35,104843,False,
92,1517,2024-09-03 15:47:51,118384,True,2024-10-10 15:47:51
93,1520,2024-08-16 07:04:54,129691,True,2024-09-04 07:04:54
94,1534,2025-12-13 14:02:47,113236,True,2025-12-31 14:02:47
95,1553,2025-07-08 03:35:42,89415,True,2025-06-20 03:35:42
96,1561,2024-07-07 20:58:48,101805,False,
97,1566,2025-04-22 12:47:08,157675,True,2025-05-05 12:47:08
98,1588,2025-11-24 23:29:20,105230,True,2025-11-14 23:29:20
99,1592,2026-02-23 09:11:29,142929,True,2026-03-15 09:11:29
100,1602,2024-07-04 12:39:45,113851,True,2024-06-29 12:39:45
101,1614,2024-07-22 16:25:59,109554,True,2024-08-02 16:25:59
102,1629,2024-12-04 08:36:02,96013,True,2024-11-28 08:36:02
103,1667,2025-12-08 23:29:20,114582,True,2025-12-08 23:29:20
104,1669,2025-10-20 20:22:21,89208,False,
105,1676,2025-12-14 08:13:05,115766,True,2026-01-08 08:13:05
106,1682,2024-04-01 08:27:34,156587,True,2024-04-06 08:27:34
107,1711,2024-04-13 03:12:05,120589,False,
108,1738,2025-02-22 00:53:34,98556,True,2025-02-17 00:53:34
109,1741,2024-12-15 09:06:28,108052,True,2024-12-29 09:06:28
110,1766,2024-04-12 11:13:39,138430,False,
111,1773,2026-02-06 15:32:57,101726,False,
112,1786,2024-12-27 16:55:06,147831,True,2025-01-04 16:55:06
113,1788,2025-06-21 07:42:57,150266,True,2025-06-27 07:42:57
114,1811,2024-09-04 13:38:18,64245,False,
115,1815,2025-01-12 17:56:59,101977,True,2025-01-23 17:56:59
116,1820,2024-04-01 12:57:11,169416,True,2024-04-18 12:57:11
117,1822,2025-04-20 13:08:45,141735,False,
118,1824,2025-02-07 03:55:31,117804,True,2025-02-03 03:55:31
119,1827,2025-05-26 04:28:32,109640,True,2025-06-04 04:28:32
120,1834,2024-09-02 13:09:46,159608,True,2024-08-29 13:09:46
121,1855,2024-11-30 13:50:05,122100,True,2024-12-25 13:50:05
122,1889,2025-04-20 17:52:24,153144,True,2025-04-22 17:52:24
123,1899,2025-04-10 04:02:24,104689,True,2025-04-01 04:02:24
124,1904,2025-05-12 20:24:51,132152,True,2025-05-08 20:24:51
125,1917,2024-09-14 10:03:06,100139,True,2024-09-15 10:03:06
126,1952,2024-11-28 06:33:15,187533,False,
127,1957,2025-08-10 09:02:56,96008,True,2025-08-26 09:02:56
128,1970,2024-02-05 12:59:26,101562,True,2024-02-16 12:59:26
129,1978,2024-12-26 10:31:45,78196,False,
130,1994,2024-04-05 18:49:33,161978,True,2024-04-20 18:49:33
131,2003,2025-08-20 09:02:56,94823,False,
132,2015,2024-09-01 05:47:00,122715,True,2024-09-11 05:47:00
133,2022,2024-11-05 04:18:55,157569,True,2024-10-22 04:18:55
134,2040,2024-12-02 01:50:15,189274,True,2024-12-03 01:50:15
135,2062,2025-10-04 11:38:26,112090,True,2025-10-28 11:38:26
136,2073,2024-07-08 07:31:50,208077,True,2024-08-02 07:31:50
137,2082,2024-04-08 11:44:42,113291,True,2024-05-05 11:44:42
138,2097,2025-11-03 15:30:28,69071,True,2025-11-15 15:30:28
139,2115,2024-12-18 21:11:22,110286,True,2025-01-07 21:11:22
140,2146,2024-03-16 18:53:29,156544,False,
141,2155,2026-01-01 20:00:14,130472,False,
142,2162,2024-10-13 12:15:03,110105,True,2024-10-10 12:15:03
143,2169,2025-12-02 13:51:55,139509,False,
144,2237,2024-11-28 06:01:53,185191,True,2024-11-27 06:01:53
145,2242,2024-05-09 07:29:14,188143,True,2024-04-29 07:29:14
146,2252,2025-06-24 13:22:23,142924,True,2025-06-24 13:22:23
147,2265,2025-09-07 00:48:08,67127,True,2025-08-19 00:48:08
148,2323,2024-03-02 15:03:39,124152,True,2024-03-06 15:03:39
149,2328,2024-12-17 16:12:16,161504,False,
150,2331,2024-05-09 03:55:00,114959,True,2024-06-11 03:55:00
151,2340,2025-10-13 08:24:24,98667,True,2025-09-27 08:24:24
152,2348,2024-09-20 22:47:06,140189,True,2024-09-17 22:47:06
153,2352,2025-06-04 03:29:38,138362,True,2025-06-17 03:29:38
154,2368,2025-09-09 02:51:57,171088,True,2025-09-02 02:51:57
155,2383,2024-06-27 00:51:24,115799,False,
156,2401,2024-05-10 12:52:28,186975,True,2024-04-24 12:52:28
157,2424,2025-02-05 18:39:44,127184,True,2025-02-22 18:39:44
158,2425,2025-08-26 18:04:34,72390,True,2025-08-29 18:04:34
159,2438,2024-07-03 07:15:41,118327,False,
160,2477,2024-10-16 23:03:02,97877,False,
161,2499,2025-07-19 08:55:41,97068,True,2025-07-05 08:55:41
162,2521,2025-07-14 00:10:39,110229,True,2025-07-26 00:10:39
163,2523,2024-05-24 19:09:30,140150,True,2024-05-14 19:09:30
164,2548,2026-02-20 21:34:34,139384,True,2026-02-14 21:34:34
165,2555,2025-03-30 21:15:38,130907,True,2025-04-10 21:15:38
166,2579,2025-12-02 05:46:24,213156,True,2025-12-22 05:46:24
167,2590,2025-03-12 06:39:57,71507,True,2025-03-15 06:39:57
168,2596,2025-06-22 18:13:01,138152,True,2025-07-21 18:13:01
169,2600,2025-10-22 13:51:55,145020,True,2025-11-01 13:51:55
170,2618,2026-01-13 18:49:32,156566,True,2026-01-23 18:49:32
171,2648,2025-09-13 20:22:20,133860,True,2025-10-04 20:22:20
172,2686,2025-07-08 04:08:30,150898,True,2025-07-24 04:08:30
173,2694,2025-07-11 16:40:19,92219,True,2025-08-02 16:40:19
174,2727,2024-04-26 08:27:34,162202,False,
175,2728,2025-03-04 18:52:30,197668,True,2025-02-25 18:52:30
176,2733,2025-06-17 04:49:54,97351,False,
177,2740,2024-10-30 15:59:20,124506,True,2024-11-08 15:59:20
178,2756,2024-09-23 03:00:41,156146,True,2024-09-17 03:00:41
179,2775,2025-10-17 03:10:32,94171,True,2025-10-02 03:10:32
180,2809,2024-08-10 19:23:40,147011,False,
181,2825,2025-03-20 09:41:42,149245,False,
182,2834,2024-10-08 03:43:41,145979,True,2024-10-10 03:43:41
183,2839,2025-09-05 08:21:41,71811,True,2025-09-25 08:21:41
